source,target,Genre,Track,Year,Popularity
George Jones,Tammy Wynette,rock,Golden Ring,1999,46
George Jones,Tammy Wynette,rock,Two Story House,1999,45
George Jones,Tammy Wynette,rock,Rollin' My Sweet Baby's Arms,1999,36
George Jones,Tammy Wynette,country,One,1999,29
George Jones,Tammy Wynette,country,Southern California,1999,21
George Jones,Tammy Wynette,country,Something To Brag About,1999,20
George Jones,Willie Nelson,rock,I Gotta Get Drunk (with Willie Nelson),1979,47
George Jones,Willie Nelson,pop,I Gotta Get Drunk,1987,32
George Jones,Johnny Cash,country,I Got Stripes (with George Jones),1979,25
George Jones,Johnny Cash,country,I'll Say It's True (with George Jones),1979,23
George Jones,Merle Haggard,rock,Yesterday's Wine,1981,46
George Jones,Merle Haggard,rock,C.C. Waterback,1981,44
George Jones,Merle Haggard,rock,Reasons to Quit,1981,41
George Jones,Merle Haggard,country,You Take Me For Granted,1981,24
George Jones,Merle Haggard,rock,No Show Jones,1982,27
George Jones,Merle Haggard,country,Must've Been Drunk,1982,24
George Jones,Emmylou Harris,country,All Fall Down (with Emmylou Harris),1984,21
George Jones,Alan Jackson,country,A Good Year For The Roses,1994,34
George Jones,B.B. King,country,Patches - Edit,1999,22
George Jones,Kenny Chesney,country,Small Y'all,2010,30
Johnny Cash,June Carter Cash,country,Jackson,1967,65
Johnny Cash,June Carter Cash,country,It Ain't Me Babe,1967,46
Johnny Cash,June Carter Cash,country,Long-Legged Guitar Pickin' Man,1967,42
Johnny Cash,June Carter Cash,country,"Oh, What a Good Thing We Had",1967,30
Johnny Cash,June Carter Cash,country,I Got a Woman,1967,28
Johnny Cash,June Carter Cash,country,Pack Up Your Sorrows,1967,26
Johnny Cash,June Carter Cash,country,What'd I Say,1967,25
Johnny Cash,June Carter Cash,country,"No, No, No",1967,24
Johnny Cash,June Carter Cash,country,Shantytown,1967,24
Johnny Cash,June Carter Cash,country,Fast Boat to Sydney,1967,23
Johnny Cash,June Carter Cash,country,You'll Be All Right,1967,23
Johnny Cash,June Carter Cash,country,"Jackson (with June Carter Cash) - Live at Folsom State Prison, Folsom, CA (1st Show) - January 1968",1968,48
Johnny Cash,June Carter Cash,country,"I Got a Woman (with June Carter Cash) (with June Carter Cash) - Live at Folsom State Prison, Folsom, CA (1st Show) - January 1968",1968,26
Johnny Cash,June Carter Cash,country,"Jackson (with June Carter Cash) - Live at Folsom State Prison, Folsom, CA (2nd Show) - January 1968",1968,24
Johnny Cash,June Carter Cash,country,"Jackson - Live at San Quentin State Prison, San Quentin, CA - February 1969",1969,25
Johnny Cash,June Carter Cash,country,"Darlin' Companion - Live at San Quentin State Prison, San Quentin, CA - February 1969",1969,23
Johnny Cash,June Carter Cash,country,If I Were a Carpenter,1970,51
Johnny Cash,June Carter Cash,country,See Ruby Fall,1970,22
Johnny Cash,June Carter Cash,country,I Talk to Jesus Every Day (with June Carter Cash),1971,26
Johnny Cash,June Carter Cash,country,Look for Me (with June Carter Cash),1971,26
Johnny Cash,June Carter Cash,country,If I Had a Hammer,1973,27
Johnny Cash,June Carter Cash,country,The Pine Tree,1973,25
Johnny Cash,June Carter Cash,country,Godshine,1973,20
Johnny Cash,June Carter Cash,country,The Loving Gift,1973,22
Johnny Cash,June Carter Cash,country,The Color Of Love,1973,20
Johnny Cash,June Carter Cash,country,Allegheny,1973,20
Johnny Cash,June Carter Cash,country,I'm A Worried Man,1974,20
Johnny Cash,June Carter Cash,country,I Got a Boy and His Name Is John (with June Carter Cash),1975,35
Johnny Cash,June Carter Cash,country,Far Side Banks Of Jordan (with June Carter Cash),1977,27
Johnny Cash,June Carter Cash,country,You and Me (with June Carter Cash),1978,22
Johnny Cash,June Carter Cash,country,One Way Rider,1980,23
Johnny Cash,June Carter Cash,country,Brand New Dance,1983,25
Johnny Cash,June Carter Cash,country,"It Ain't Me, Babe (with June Carter Cash)",2002,54
Johnny Cash,June Carter Cash,country,Jackson (with June Carter Cash),2002,44
Johnny Cash,June Carter Cash,country,"Jackson - Live At The Paramount Theatre, NJ/1990",2007,27
Johnny Cash,June Carter Cash,country,"The Wreck Of Old '97 - Live At The Paramount Theatre, NJ/1990",2007,24
Johnny Cash,June Carter Cash,country,Baby Ride Easy (with June Carter Cash),2014,50
Johnny Cash,June Carter Cash,country,Don't You Think It's Come Our Time (with June Carter Cash),2014,33
Johnny Cash,Bob Dylan,rock,Girl from the North Country,1969,68
Johnny Cash,Waylon Jennings,country,There Ain't No Good Chain Gang (with Waylon Jennings),1978,54
Johnny Cash,Waylon Jennings,country,I Wish I Was Crazy Again (with Waylon Jennings),1978,30
Johnny Cash,Waylon Jennings,country,American by Birth,1986,28
Johnny Cash,Waylon Jennings,country,Even Cowgirls Get the Blues,1986,30
Johnny Cash,Waylon Jennings,country,The Ballad of Forty Dollars,1986,25
Johnny Cash,Waylon Jennings,country,Folks out on the Road,1986,25
Johnny Cash,Waylon Jennings,country,Love Is the Way,1986,23
Johnny Cash,Waylon Jennings,country,One Too Many Mornings,1986,21
Johnny Cash,Waylon Jennings,country,Heroes,1986,22
Johnny Cash,Waylon Jennings,country,The Night Hank Williams Came To Town,1987,42
Johnny Cash,Waylon Jennings,country,The Greatest Cowboy of Them All,2006,32
Johnny Cash,Waylon Jennings,country,I'm Movin' On (with Waylon Jennings),2014,50
Johnny Cash,Ray Charles,soul,Crazy Old Soldier,1984,21
Johnny Cash,Ray Charles,country,Crazy Old Soldier,1984,21
Johnny Cash,Marty Stuart,country,Doin' My Time,1992,25
Johnny Cash,Willie Nelson,country,(Ghost) Riders In The Sky - Live,1998,36
Johnny Cash,Willie Nelson,country,Don't Take Your Guns To Town - Live,1998,26
Johnny Cash,Willie Nelson,country,Always On My Mind - Live,1998,27
Johnny Cash,Willie Nelson,country,On The Road Again - Live,1998,26
Johnny Cash,Willie Nelson,country,Folsom Prison Blues - Live,1998,25
Johnny Cash,Willie Nelson,country,I Still Miss Someone - Live,1998,23
Johnny Cash,Willie Nelson,country,Me And Paul - Live,1998,23
Johnny Cash,Willie Nelson,country,Worried Man - Live,1998,23
Johnny Cash,Willie Nelson,country,Funny How Time Slips Away - Live,1998,23
Johnny Cash,Willie Nelson,country,Crazy - Live,1998,23
Johnny Cash,Willie Nelson,country,Drive On - Live,1998,22
Johnny Cash,Willie Nelson,country,Family Bible - Live,1998,22
Johnny Cash,Willie Nelson,country,Unchained - Live,1998,21
Johnny Cash,Willie Nelson,country,Flesh And Blood - Live,1998,22
Johnny Cash,Willie Nelson,country,Night Life - Live,1998,21
Johnny Cash,Willie Nelson,country,Like A Soldier,2003,29
Johnny Cash,Merle Haggard,country,I'm Leavin' Now,2000,26
Johnny Cash,Glen Campbell,country,Gentle On My Mind,2003,31
Marvin Gaye,Tammi Terrell,soul,Ain't No Mountain High Enough,1967,82
Marvin Gaye,Tammi Terrell,soul,Your Precious Love,1967,56
Marvin Gaye,Tammi Terrell,soul,If This World Were Mine,1967,47
Marvin Gaye,Tammi Terrell,soul,If I Could Build My Whole World Around You,1967,40
Marvin Gaye,Tammi Terrell,soul,Somethin’ Stupid,1967,36
Marvin Gaye,Tammi Terrell,soul,You've Got What It Takes,1967,34
Marvin Gaye,Tammi Terrell,soul,Two Can Have A Party,1967,35
Marvin Gaye,Tammi Terrell,soul,Hold Me Oh My Darling,1967,31
Marvin Gaye,Tammi Terrell,soul,Give A Little Love,1967,29
Marvin Gaye,Tammi Terrell,soul,Oh How I'd Miss You,1967,29
Marvin Gaye,Tammi Terrell,soul,"Little Ole Boy, Little Ole Girl",1967,29
Marvin Gaye,Tammi Terrell,soul,Sad Wedding,1967,28
Marvin Gaye,Tammi Terrell,soul,You're All I Need To Get By,1968,62
Marvin Gaye,Tammi Terrell,soul,Ain't Nothing Like The Real Thing,1968,55
Marvin Gaye,Tammi Terrell,soul,Keep On Lovin' Me Honey,1968,25
Marvin Gaye,Tammi Terrell,soul,Baby Don't Cha Worry,1968,23
Marvin Gaye,Tammi Terrell,soul,You Ain't Livin' Till You're Lovin',1968,24
Marvin Gaye,Tammi Terrell,soul,I'll Never Stop Loving You Baby,1968,23
Marvin Gaye,Tammi Terrell,soul,When Love Comes Knocking At My Heart,1968,21
Marvin Gaye,Tammi Terrell,soul,I Can't Help But Love You,1968,20
Marvin Gaye,Tammi Terrell,soul,California Soul,1969,44
Marvin Gaye,Tammi Terrell,soul,The Onion Song,1969,33
Marvin Gaye,Tammi Terrell,soul,Good Lovin' Ain't Easy To Come By,1969,27
Marvin Gaye,Tammi Terrell,soul,Baby I Need Your Loving,1969,26
Marvin Gaye,Tammi Terrell,soul,I'm Your Puppet,1969,23
Marvin Gaye,Tammi Terrell,soul,What You Gave Me,1969,23
Marvin Gaye,Tammi Terrell,soul,Ain't No Mountain High Enough - Mono,1995,55
Marvin Gaye,Tammi Terrell,soul,Ain't No Mountain High Enough - Mono Version,1995,23
Marvin Gaye,Diana Ross,soul,You Are Everything,1973,61
Marvin Gaye,Diana Ross,soul,"Stop, Look, Listen (To Your Heart)",1973,56
Marvin Gaye,Diana Ross,soul,My Mistake (Was To Love You),1973,41
Marvin Gaye,Diana Ross,soul,You're A Special Part Of Me,1973,28
Marvin Gaye,Diana Ross,soul,Love Twins,1973,28
Marvin Gaye,Diana Ross,soul,Don't Knock My Love,1973,28
Marvin Gaye,Diana Ross,soul,I'm Falling In Love With You,1973,28
Marvin Gaye,Diana Ross,soul,I'll Keep My Light In My Window,1973,25
Marvin Gaye,Diana Ross,soul,Pledging My Love,1973,26
Marvin Gaye,Diana Ross,soul,"Just Say, Just Say",1973,26
Marvin Gaye,Diana Ross,soul,Include Me In Your Life,1973,24
Marvin Gaye,Diana Ross,soul,Alone,1973,22
Marvin Gaye,Diana Ross,soul,The Things I Will Not Miss,1973,22
Marvin Gaye,Diana Ross,soul,I've Come To Love You So Much,1973,22
Marvin Gaye,Kygo,soul,Sexual Healing - Kygo Remix,2015,66
Marvin Gaye,Kygo,soul,Sexual Healing - Kygo Radio Edit,2015,47
Bob Dylan,Grateful Dead,rock,"Gotta Serve Somebody - Live at Anaheim Stadium, Anaheim, CA - July 1987",1989,31
Bob Dylan,Grateful Dead,rock,"Slow Train - Live at Sullivan Stadium, Foxborough, MA - July 1987",1989,29
Bob Dylan,Grateful Dead,rock,"Knockin' on Heaven's Door - Live at Anaheim Stadium, Anaheim, CA - July 1987",1989,29
Bob Dylan,Grateful Dead,country,"All Along the Watchtower - Live at Anaheim Stadium, Anaheim, CA - July 1987",1989,27
Bob Dylan,Grateful Dead,country,"Queen Jane Approximately - Live at Autzen Stadium, Eugne, OR - July 1987",1989,26
Bob Dylan,Grateful Dead,country,"I Want You - Live at Oakland Coliseum, Oakland, CA - July 1987",1989,27
Bob Dylan,Grateful Dead,country,"Joey - Live at Sullivan Stadium, Foxborough, MA - July 1987",1989,24
Bob Dylan,The Band,rock,Forever Young (feat. Bob Dylan) - Concert Version,2002,40
Bob Dylan,The Band,country,Baby Let Me Follow You Down (feat. Bob Dylan) - Concert Version,2002,31
Bob Dylan,The Band,country,Baby Let Me Follow You Down (Reprise) (feat. Bob Dylan) - Concert Version,2002,29
Bob Dylan,The Band,country,I Don't Believe You (She Acts Like We Never Have Met) (feat. Bob Dylan) - Concert Version,2002,29
Them,Van Morrison,pop,Don't Look Back (feat. Van Morrison) - Mono Version,1965,42
Them,Van Morrison,pop,Gloria (feat. Van Morrison) - Mono Version,1965,40
Them,Van Morrison,pop,Mystic Eyes (feat. Van Morrison) - Mono Version,1965,35
Them,Van Morrison,pop,Just a Little Bit (feat. Van Morrison),1965,24
Them,Van Morrison,pop,If You and I Could Be as Two (feat. Van Morrison) - Mono Version,1965,23
Them,Van Morrison,pop,You Just Can't Win (feat. Van Morrison),1965,22
